id,username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,date
237,ljnknj,1,2023-11-24 23:39:51,2023-12-05 01:04:38,255,0,25,man,4,1,1.0,2.0,16.0,54.0,,30.0,2.0,1.0,1.0,,2,1,2,2
238,jqexya,0,2023-11-24 23:40:39,2023-12-06 01:59:41,255,0,26,man,2,2,0.0,-1.0,18.0,52.0,,15.0,1.0,0.0,0.0,,2,2,1,1
240,nuksge,1,2023-11-24 23:41:58,2023-12-08 15:56:11,255,0,19,man,1,2,2.0,1.0,30.0,42.0,,15.0,0.0,0.0,1.0,,1,1,2,1
241,cxivgt,1,2023-11-24 23:44:56,2023-12-06 19:10:06,255,0,23,man,3,3,1.0,1.0,24.0,48.0,,15.0,1.0,0.0,1.0,,2,2,1,1
243,suwwsa,0,2023-11-24 23:46:04,2023-12-14 04:05:26,255,0,55,man,4,3,1.0,2.0,30.0,42.0,,15.0,2.0,1.0,1.0,,3,2,3,1
244,wkhhqh,1,2023-11-24 23:46:46,2023-12-05 04:09:18,255,0,26,vrouw,3,2,0.0,1.0,20.0,54.0,,31.0,2.0,0.0,1.0,,2,2,2,3
245,mokijv,1,2023-11-24 23:47:24,2023-12-06 04:22:26,255,0,45,man,3,3,1.0,2.0,20.0,69.0,,15.0,1.0,0.0,2.0,,3,2,2,1
246,bwddel,0,2023-11-24 23:48:16,2023-12-05 00:56:13,255,0,33,man,4,1,1.0,1.0,16.0,54.0,,21.0,1.0,0.0,0.0,,1,3,3,2
247,uqvccg,0,2023-11-24 23:49:05,2023-12-08 15:57:51,255,0,36,man,2,1,0.0,0.0,28.0,45.0,,15.0,0.0,0.0,0.0,,1,2,2,1
248,wohrqa,1,2023-11-24 23:50:11,2023-12-05 01:52:24,255,0,29,man,3,2,1.0,1.0,18.0,52.0,,15.0,1.0,1.0,2.0,,2,1,2,1
249,ewuhbn,1,2023-11-24 23:51:05,2023-12-07 01:40:18,255,0,41,man,4,2,2.0,2.0,20.0,52.0,,25.0,1.0,0.0,1.0,,2,3,1,2
